,date,real_output,RFR
23108,1566914400000,11.7,12.037200000000007
23109,1566918000000,8.78,8.4711
23110,1566921600000,6.44,7.142500000000004
23111,1566925200000,3.99,5.627799999999999
23113,1566932400000,0.0,0.21229999999999996
23114,1566936000000,0.0,1.8905362660926552e-06
23115,1566939600000,0.0,1.8905362660926552e-06
23116,1566943200000,0.0,1.8905362660926552e-06
23117,1566946800000,0.0,1.8905362660926552e-06
23119,1566954000000,0.0,1.8905362660926552e-06
23120,1566957600000,0.0,1.8905362660926552e-06
23121,1566961200000,0.0,1.8905362660926552e-06
23122,1566964800000,0.08,0.209
23123,1566968400000,2.1,2.224300000000001
23125,1566975600000,7.49,5.7704
23126,1566979200000,10.62,10.721899999999998
23127,1566982800000,12.87,13.151
23128,1566986400000,14.86,14.160699999999995
23129,1566990000000,15.29,15.449900000000003
23131,1566997200000,13.12,13.401199999999996
23132,1567000800000,11.31,11.607600000000001
23133,1567004400000,8.57,8.769300000000001
23134,1567008000000,6.49,7.1495000000000015
23135,1567011600000,3.84,5.6568999999999985
23137,1567018800000,0.0,0.19369999999999993
23138,1567022400000,0.0,1.8905362660926552e-06
23139,1567026000000,0.0,1.8905362660926552e-06
23140,1567029600000,0.0,1.8905362660926552e-06
23142,1567036800000,0.0,1.8905362660926552e-06
23144,1567044000000,0.0,1.8905362660926552e-06
23146,1567051200000,0.03,0.014700000000000006
23147,1567054800000,1.27,1.122299999999999
23149,1567062000000,6.19,4.740300000000002
23150,1567065600000,9.94,9.998600000000009
23151,1567069200000,9.39,12.229500000000003
23152,1567072800000,14.2,12.728899999999996
23153,1567076400000,14.51,13.210399999999998
23155,1567083600000,5.36,10.854399999999998
23156,1567087200000,3.55,8.355899999999998
23157,1567090800000,4.6,5.4401
23158,1567094400000,1.18,3.6105000000000005
23159,1567098000000,2.24,0.7479000000000002
23161,1567105200000,0.0,0.19920000000000002
23162,1567108800000,0.0,1.8905362660926552e-06
23163,1567112400000,0.0,1.8905362660926552e-06
23164,1567116000000,0.0,1.8905362660926552e-06
23165,1567119600000,0.0,1.8905362660926552e-06
23167,1567126800000,0.0,1.8905362660926552e-06
23168,1567130400000,0.0,1.8905362660926552e-06
23169,1567134000000,0.0,1.8905362660926552e-06
23170,1567137600000,0.06,0.08479999999999994
23171,1567141200000,1.91,1.4327
23173,1567148400000,4.34,4.295599999999998
23174,1567152000000,9.68,9.116300000000006
23175,1567155600000,13.43,12.821300000000008
23176,1567159200000,13.36,14.617099999999995
23177,1567162800000,14.48,13.914899999999998
23179,1567170000000,7.7,11.9662
23180,1567173600000,8.9,7.987900000000003
23181,1567177200000,6.68,8.205000000000002
23182,1567180800000,3.99,5.598800000000002
23183,1567184400000,1.73,2.3074
23185,1567191600000,0.0,0.1383
23186,1567195200000,0.0,1.8905362660926552e-06
23187,1567198800000,0.0,1.8905362660926552e-06
23188,1567202400000,0.0,1.8905362660926552e-06
23189,1567206000000,0.0,1.8905362660926552e-06
23191,1567213200000,0.0,1.8905362660926552e-06
23192,1567216800000,0.0,1.8905362660926552e-06
23193,1567220400000,0.0,1.8905362660926552e-06
23194,1567224000000,0.02,0.07569999999999999
23195,1567227600000,0.93,1.3831999999999993
23197,1567234800000,6.79,5.2977000000000025
23198,1567238400000,11.12,10.019300000000005
23199,1567242000000,11.76,12.930199999999997
23200,1567245600000,11.93,13.549899999999994
23201,1567249200000,14.44,13.6304
23203,1567256400000,12.58,12.4892
23204,1567260000000,11.48,11.569399999999998
23205,1567263600000,7.48,8.8874
23206,1567267200000,6.59,6.775000000000001
23207,1567270800000,3.99,4.3031
23209,1567278000000,0.0,0.20149999999999996
23210,1567281600000,0.0,1.8905362660926552e-06
23211,1567285200000,0.0,1.8905362660926552e-06
23212,1567288800000,0.0,1.8905362660926552e-06
23213,1567292400000,0.0,1.8905362660926552e-06
23215,1567299600000,0.0,1.8905362660926552e-06
23216,1567303200000,0.0,1.8905362660926552e-06
23217,1567306800000,0.0,1.8905362660926552e-06
23218,1567310400000,0.02,0.10060000000000002
23219,1567314000000,0.99,1.7321000000000004
23220,1567317600000,4.42,3.4214999999999987
23221,1567321200000,4.43,7.334499999999997
23222,1567324800000,9.56,9.212600000000005
23223,1567328400000,12.26,12.510999999999994
23224,1567332000000,14.04,13.571000000000003
23225,1567335600000,14.31,12.140699999999997
23227,1567342800000,11.92,9.207000000000003
23228,1567346400000,6.9,8.426800000000004
23229,1567350000000,1.22,5.770500000000001
23230,1567353600000,0.6,2.844400000000001
23231,1567357200000,0.44,0.6857
23232,1567360800000,0.21,0.0464
23234,1567368000000,0.0,1.8905362660926552e-06
23235,1567371600000,0.0,1.8905362660926552e-06
23236,1567375200000,0.0,1.8905362660926552e-06
23237,1567378800000,0.0,1.8905362660926552e-06
23239,1567386000000,0.0,1.8905362660926552e-06
23240,1567389600000,0.0,1.8905362660926552e-06
23241,1567393200000,0.0,1.8905362660926552e-06
23242,1567396800000,0.0,0.014900000000000004
23243,1567400400000,0.5,1.3999999999999997
23245,1567407600000,2.26,3.968699999999999
23246,1567411200000,4.27,5.2163999999999975
23247,1567414800000,10.44,9.107200000000004
23248,1567418400000,10.81,11.952400000000003
23249,1567422000000,10.16,12.130600000000001
23251,1567429200000,11.2,11.541500000000006
23252,1567432800000,11.67,11.796400000000007
23253,1567436400000,6.29,8.200300000000002
23254,1567440000000,5.44,4.958900000000001
23255,1567443600000,3.3,2.7182000000000004
23256,1567447200000,0.2,0.4778999999999998
23257,1567450800000,0.0,1.8905362660926552e-06
23258,1567454400000,0.0,1.8905362660926552e-06
23259,1567458000000,0.0,1.8905362660926552e-06
23260,1567461600000,0.0,1.8905362660926552e-06
23261,1567465200000,0.0,1.8905362660926552e-06
23263,1567472400000,0.0,1.8905362660926552e-06
23264,1567476000000,0.0,1.8905362660926552e-06
23265,1567479600000,0.0,1.8905362660926552e-06
23266,1567483200000,0.01,0.03509999999999995
23267,1567486800000,1.86,1.4842999999999997
23269,1567494000000,6.72,5.1858
23270,1567497600000,10.54,9.822600000000008
23271,1567501200000,13.06,12.913600000000004
23272,1567504800000,14.87,14.506099999999998
