date,air_humidity_id,sun_hours_id,output
1536840000000,48,57.2,
1536843600000,51,42.1,
1536847200000,50,25.0,
1536850800000,50,8.1,
1536854400000,52,3.2,
1536858000000,55,0.3,
1536861600000,55,0.0,
1536865200000,57,0.0,
1536868800000,59,0.0,
1536872400000,64,0.0,
1536876000000,68,0.0,
1536879600000,71,0.0,
1536883200000,73,0.0,
1536886800000,75,0.0,
1536890400000,77,0.0,
1536894000000,79,0.0,
1536897600000,80,0.0,
1536901200000,79,2.0,
1536904800000,78,4.3,
1536908400000,75,11.3,
1536912000000,67,22.3,
1536915600000,65,26.4,
1536919200000,68,42.3,
1536922800000,60,22.4,
1536926400000,66,40.7,
1536930000000,69,14.8,
1536933600000,59,9.7,
1536937200000,65,4.4,
1536940800000,66,2.5,
1536944400000,63,0.2,
1536948000000,69,0.0,
1536951600000,80,0.0,
1536955200000,80,0.0,
1536958800000,79,0.0,
1536962400000,76,0.0,
1536966000000,81,0.0,
1536969600000,81,0.0,
1536973200000,83,0.0,
1536976800000,82,0.0,
1536980400000,83,0.0,
1536984000000,81,0.0,
1536987600000,82,0.8,
1536991200000,80,3.3,
1536994800000,95,8.6,
1536998400000,94,15.4,
1537002000000,83,25.7,
1537005600000,64,27.4,
1537009200000,56,55.5,
1537012800000,54,48.9,
1537016400000,50,36.3,
1537020000000,52,23.0,
1537023600000,49,10.8,
1537027200000,49,3.6,
1537030800000,53,0.2,
1537034400000,60,0.0,
1537038000000,63,0.0,
1537041600000,65,0.0,
1537045200000,71,0.0,
1537048800000,75,0.0,
1537052400000,76,0.0,
1537056000000,78,0.0,
1537059600000,81,0.0,
1537063200000,82,0.0,
1537066800000,88,0.0,
1537070400000,92,0.0,
1537074000000,90,2.1,
1537077600000,82,8.2,
1537081200000,74,20.1,
1537084800000,60,33.9,
1537088400000,52,49.2,
1537092000000,47,59.2,
1537095600000,41,60.7,
1537099200000,43,53.8,
1537102800000,39,40.0,
1537106400000,39,24.2,
1537110000000,47,5.3,
1537113600000,53,1.9,
1537117200000,55,0.1,
1537120800000,60,0.0,
1537124400000,61,0.0,
1537128000000,64,0.0,
1537131600000,68,0.0,
1537135200000,74,0.0,
1537138800000,87,0.0,
1537142400000,90,0.0,
1537146000000,99,0.0,
1537149600000,100,0.0,
1537153200000,100,0.0,
1537156800000,100,0.0,
1537160400000,100,0.8,
1537164000000,100,2.8,
1537167600000,99,10.7,
1537171200000,94,29.8,
1537174800000,82,27.9,
1537178400000,77,38.2,
1537182000000,71,33.2,
1537185600000,72,30.5,
1537189200000,77,25.2,
1537192800000,68,14.6,
1537196400000,66,4.0,
1537200000000,65,0.9,
1537203600000,62,0.0,
1537207200000,68,0.0,
1537210800000,70,0.0,
1537214400000,76,0.0,
1537218000000,75,0.0,
1537221600000,76,0.0,
1537225200000,76,0.0,
1537228800000,78,0.0,
1537232400000,82,0.0,
1537236000000,81,0.0,
1537239600000,83,0.0,
1537243200000,83,0.0,
1537246800000,85,1.0,
1537250400000,85,3.3,
1537254000000,79,9.0,
1537257600000,81,15.8,
1537261200000,78,17.1,
1537264800000,77,18.4,
1537268400000,78,19.0,
1537272000000,75,21.2,
1537275600000,74,33.8,
1537279200000,75,22.7,
1537282800000,77,10.7,
1537286400000,70,3.1,
1537290000000,73,0.0,
1537293600000,78,0.0,
1537297200000,83,0.0,
1537300800000,82,0.0,
1537304400000,82,0.0,
1537308000000,75,0.0,
1537311600000,75,0.0,
1537315200000,74,0.0,
1537318800000,76,0.0,
1537322400000,76,0.0,
1537326000000,78,0.0,
1537329600000,80,0.0,
1537333200000,80,1.4,
1537336800000,79,6.7,
1537340400000,76,16.5,
1537344000000,72,28.6,
1537347600000,69,42.3,
1537351200000,60,48.7,
1537354800000,53,48.0,
1537358400000,48,41.9,
1537362000000,50,29.0,
1537365600000,51,20.0,
1537369200000,56,9.5,
1537372800000,61,1.8,
1537376400000,68,0.0,
1537380000000,73,0.0,
1537383600000,77,0.0,
1537387200000,75,0.0,
1537390800000,77,0.0,
1537394400000,78,0.0,
1537398000000,77,0.0,
1537401600000,80,0.0,
1537405200000,81,0.0,
1537408800000,82,0.0,
1537412400000,80,0.0,
1537416000000,82,0.0,
1537419600000,83,0.9,
1537423200000,80,4.3,
1537426800000,78,17.0,
1537430400000,61,31.6,
1537434000000,45,43.7,
1537437600000,45,50.5,
1537441200000,45,40.9,
1537444800000,49,44.7,
1537448400000,48,28.4,
1537452000000,47,18.8,
1537455600000,54,8.8,
1537459200000,67,2.6,
1537462800000,73,0.0,
1537466400000,77,0.0,
1537470000000,62,0.0,
1537473600000,64,0.0,
1537477200000,69,0.0,
1537480800000,76,0.0,
1537484400000,74,0.0,
1537488000000,72,0.0,
1537491600000,72,0.0,
1537495200000,80,0.0,
1537498800000,91,0.0,
1537502400000,99,0.0,
1537506000000,99,0.4,
1537509600000,99,1.4,
1537513200000,91,3.9,
1537516800000,84,11.0,
1537520400000,79,14.4,
1537524000000,76,21.9,
1537527600000,81,23.7,
1537531200000,81,26.2,
1537534800000,84,14.2,
1537538400000,79,10.0,
1537542000000,77,2.8,
1537545600000,74,1.0,
1537549200000,78,0.0,
