,date,real_output,StandardScaler_LR,MinMaxScaler_LR,MaxAbsScaler_LR,RobustScaler_LR,QuantileTransformer-Normal_LR,QuantileTransformer-Uniform_LR,PowerTransformer-Yeo-Johnson_LR,Normalizer_LR
25438,1575471600000,0.0,0.18167352316394592,0.1816735231639457,0.18167352316395657,0.18167352316393448,0.6416949179606286,0.0,0.0,0.0
25439,1575475200000,0.0,0.0,0.0,0.0,0.0,0.2605435785319341,0.0,0.0,0.0
25440,1575478800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25441,1575482400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25442,1575486000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25443,1575489600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25444,1575493200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25445,1575496800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25446,1575500400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25447,1575504000000,0.0,0.0,0.0,0.0,0.0,0.0,0.2799048535975741,0.0,0.0
25448,1575507600000,0.0,0.041705224137734476,0.041705224137734254,0.04170522413773625,0.041705224137714936,0.0,0.3716985767823173,0.0,0.0
25449,1575511200000,0.0,0.004795230977184595,0.00479523097718404,0.004795230977185483,0.00479523097716561,0.0,0.2896050302659692,0.024262434248528475,0.0
25450,1575514800000,0.0,0.2347150485460321,0.2347150485460341,0.2347150485460343,0.234715048546014,0.04633572639242578,0.35648550336111384,0.3335816212580549,0.0256351004823806
25451,1575518400000,0.0,0.5121036104919434,0.5121036104919476,0.5121036104919447,0.5121036104919259,0.38727959721005023,0.5976154908213243,0.6462169174346877,0.29736027487077876
25452,1575522000000,0.0,0.732371789563778,0.7323717895637825,0.7323717895637802,0.7323717895637615,0.7411738949422753,0.6432300177914323,0.8327571380435537,0.511677204895853
25453,1575525600000,0.0,0.9314398514663522,0.931439851466359,0.9314398514663527,0.931439851466337,3.1191011645214854,0.6946075445606015,0.9840139716498617,0.70564089662346
25454,1575529200000,0.0,1.0599385551674563,1.0599385551674627,1.0599385551674594,1.059938555167442,0.9299461070022148,0.4438233489426793,1.0260921893697084,0.829801362746502
25455,1575532800000,0.16,1.2663381041116681,1.2663381041116766,1.2663381041116715,1.2663381041116546,1.8835399109759505,2.78350052825734,1.2115746443425846,1.0311443549025399
25456,1575536400000,0.54,1.5867012763554327,1.58670127635544,1.5867012763554342,1.5867012763554174,3.266055123309137,3.7613563443425306,2.1713852502999726,1.3471791421797166
25457,1575540000000,0.43,2.116224600283296,2.1162246002833047,2.116224600283301,2.116224600283279,4.099685552366872,4.535950928104846,3.4481826681329366,1.8720330917004386
25458,1575543600000,1.72,2.1110845058808634,2.1110845058808714,2.1110845058808643,2.1110845058808447,4.961657583192414,5.29584302360124,3.2703346161699183,1.8670566997164382
25459,1575547200000,1.07,3.0148490997355126,3.0148490997355184,3.014849099735514,3.014849099735494,5.417626505342788,5.272521751769801,5.015737244249492,2.767539240792288
25460,1575550800000,0.37,1.974234177084265,1.9742341770842702,1.9742341770842682,1.9742341770842489,4.385320693428213,4.452330548143088,3.196194595852845,1.7369311622947707
25461,1575554400000,0.05,1.2397706847985122,1.2397706847985148,1.2397706847985166,1.2397706847984973,2.7765406824084753,1.5449375411884017,2.139530599898182,1.0122023593133598
25462,1575558000000,0.0,0.6426385835446067,0.6426385835446107,0.6426385835446098,0.642638583544593,2.5580938842363734,1.5743747185822379,0.6360349198002151,0.4251030319405372
25463,1575561600000,0.0,0.5216899622157021,0.5216899622157033,0.5216899622157047,0.5216899622156864,1.010443282657596,0.8051711683564724,0.30263786030137396,0.30974943029516017
25464,1575565200000,0.0,0.5636476129483627,0.5636476129483641,0.5636476129483672,0.5636476129483459,0.20822273164155058,0.18332483163676105,0.34100241982240087,0.35738417537717937
25465,1575568800000,0.0,0.13159143784022254,0.13159143784021943,0.13159143784022653,0.1315914378402041,0.0,0.0,0.07225538753060556,0.0
25466,1575572400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01128664991071604,0.0
25467,1575576000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007503568411894701,0.0
25468,1575579600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25469,1575583200000,0.0,0.0,0.0,0.0,0.0,0.0,0.12740136098114707,0.0,0.0
25470,1575586800000,0.0,0.0,0.0,0.0,0.0,0.0,0.5109002200314894,0.10087721511844938,0.0
25471,1575590400000,0.0,0.0,0.0,0.0,0.0,0.0,0.9026691543557686,0.2444880286026896,0.0
25472,1575594000000,0.0,0.0,0.0,0.0,0.0,0.0,0.14040261839833867,0.0,0.0
25473,1575597600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25474,1575601200000,0.0,0.05845730662813109,0.058457306628130645,0.05845730662812976,0.058457306628109995,0.0,0.0,0.0,0.0
25475,1575604800000,0.0,0.2349017017513746,0.23490170175137604,0.23490170175137415,0.23490170175135372,0.0,0.0,0.1048487306918835,0.05200139195684411
25476,1575608400000,0.0,0.44752039854472425,0.4475203985447259,0.44752039854472336,0.4475203985447038,0.0,0.0,0.3060897377131919,0.26019704786140785
25477,1575612000000,0.0,0.6142099833768042,0.614209983376808,0.6142099833768047,0.614209983376785,2.200089797972482,0.0,0.3370704729132097,0.4241909273231604
25478,1575615600000,0.0,0.7891794521007292,0.7891794521007327,0.7891794521007292,0.7891794521007118,0.056139649382637824,0.0,0.3921908463425141,0.5960433431689766
25479,1575619200000,0.0,0.8611833386110757,0.8611833386110805,0.8611833386110757,0.8611833386110591,0.7828859096530492,1.3725898087858255,0.3400116154665689,0.6640996734252489
25480,1575622800000,0.1,0.9440770129074201,0.9440770129074258,0.9440770129074245,0.9440770129074033,1.373680642582788,2.008005196976468,0.41988867367262017,0.7424297972135093
25481,1575626400000,0.34,1.0778686471183576,1.077868647118363,1.0778686471183576,1.0778686471183416,2.6906134120012264,2.320346907079772,0.9672589501982534,0.8710767041136924
25482,1575630000000,0.93,1.2581936036344477,1.258193603634453,1.2581936036344494,1.258193603634432,3.349254611031361,2.7641447680877764,1.7648842425193276,1.0480613911202705
25483,1575633600000,0.66,1.7140015236859316,1.7140015236859347,1.714001523685937,1.7140015236859147,4.53720364252669,3.295605259241295,2.9853596139320167,1.4991070141720555
25484,1575637200000,0.27,1.254948043915477,1.2549480439154796,1.2549480439154852,1.2549480439154614,3.9294314628101983,3.3841607486711656,2.031767283357561,1.0433808295406903
25485,1575640800000,0.03,0.6651012093019029,0.6651012093019038,0.6651012093019073,0.6651012093018885,2.3494732845566366,0.6306687210254296,0.9015068025090682,0.45978855547498154
25486,1575644400000,0.0,0.4407098550794335,0.44070985507943516,0.44070985507944016,0.44070985507941945,2.2718526288333494,0.6344485537126046,0.0,0.24092670752322998
25487,1575648000000,0.0,0.20169684228178264,0.20169684228178197,0.20169684228178753,0.20169684228176743,0.6242425799100304,0.0,0.0,0.006817571066069061
25488,1575651600000,0.0,0.03618649779755634,0.03618649779755423,0.03618649779756389,0.03618649779753935,0.0,0.0,0.0,0.0
25489,1575655200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25490,1575658800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25491,1575662400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25492,1575666000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25493,1575669600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25494,1575673200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25497,1575687600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25498,1575691200000,0.0,0.13474975167229486,0.1347497516722962,0.13474975167229886,0.13474975167227465,0.0,0.0,0.0,0.0
25499,1575694800000,0.0,0.37984599153396825,0.3798459915339718,0.37984599153396914,0.3798459915339488,0.0,0.0,0.0,0.1971531669582436
25500,1575698400000,0.0,0.5996339119185263,0.5996339119185301,0.5996339119185308,0.5996339119185083,1.0557205237550225,0.0,0.13009014647737427,0.41399391984733735
25501,1575702000000,0.0,0.7875665019580889,0.7875665019580942,0.7875665019580929,0.7875665019580723,0.0,0.0,0.2551880562961295,0.5980298586682227
25502,1575705600000,0.0,0.8853236835080547,0.8853236835080598,0.8853236835080622,0.8853236835080388,0.0,1.0849616434925942,0.2859289696507856,0.6919032782208888
25504,1575712800000,0.22,0.7753349349659717,0.7753349349659753,0.7753349349659739,0.7753349349659538,0.582412330336346,1.0279189609569421,0.16156780192972953,0.5733539948904158
25505,1575716400000,0.88,0.9361978506578996,0.936197850657903,0.9361978506579032,0.9361978506578822,1.7317149429453649,1.1866571742390182,1.0850454922051151,0.7323678685972235
25506,1575720000000,0.48,1.4224339021623338,1.422433902162336,1.4224339021623393,1.4224339021623158,3.3038158503186073,1.725277557487546,2.4452407983641384,1.214685575242124
25507,1575723600000,0.14,0.8594910463670837,0.8594910463670844,0.85949104636709,0.8594910463670666,2.9978283949770264,1.8372243071567738,1.167635838178574,0.6552300254053511
25508,1575727200000,0.01,0.2981889837696472,0.29818898376964714,0.2981889837696521,0.2981889837696313,1.3565587999962148,0.0,0.0822435841168172,0.0988297162368369
25509,1575730800000,0.0,0.0,0.0,0.0,0.0,1.0692837751580777,0.0,0.0,0.0
25510,1575734400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25511,1575738000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25512,1575741600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25513,1575745200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25514,1575748800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25515,1575752400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25516,1575756000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25517,1575759600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25518,1575763200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25519,1575766800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25520,1575770400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25521,1575774000000,0.0,0.13770143163010928,0.13770143163010928,0.13770143163011106,0.1377014316300862,0.0,0.0,0.0,0.0
25522,1575777600000,0.0,0.3329411935902762,0.33294119359027574,0.33294119359027974,0.33294119359025365,0.0,0.0,0.0,0.1430466212910379
25523,1575781200000,0.0,0.499243740257008,0.4992437402570101,0.4992437402570111,0.4992437402569866,0.0,0.0,0.04129674349546475,0.30455199160035823
25524,1575784800000,0.0,0.701467582245197,0.7014675822451991,0.701467582245197,0.7014675822451766,1.999352364660546,0.0,0.19850326637743887,0.502003305915147
25525,1575788400000,0.0,0.8498151431069485,0.849815143106952,0.8498151431069498,0.8498151431069294,0.0,0.0,0.2590889979467512,0.6458836147001843
25526,1575792000000,0.0,0.7351631055544972,0.7351631055545017,0.7351631055544985,0.735163105554479,0.5393536289036485,1.1778368122651095,0.11849724042653342,0.5297383289094088
25527,1575795600000,0.14,0.8833919003723167,0.8833919003723202,0.8833919003723203,0.8833919003722974,0.8118327590374936,1.680926287874975,0.2950758465679417,0.6763875174891291
25531,1575810000000,0.0,0.40953174865507513,0.4095317486550739,0.40953174865508046,0.4095317486550561,0.0,0.0,0.11415601456884117,0.22141548452221693
25532,1575813600000,0.01,0.08559779314877058,0.08559779314876903,0.08559779314877503,0.08559779314875149,0.0,0.0,0.0,0.0
25533,1575817200000,0.0,0.010323802986177189,0.010323802986174191,0.01032380298618385,0.010323802986158759,0.0,0.0,0.0,0.0
25534,1575820800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25535,1575824400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25536,1575828000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25537,1575831600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25538,1575835200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25539,1575838800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25540,1575842400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25541,1575846000000,0.0,0.0,0.0,0.0,0.0,0.0,0.24537244168065175,0.0,0.0
25542,1575849600000,0.0,0.0,0.0,0.0,0.0,0.0,0.6657391616291388,0.0,0.0
25543,1575853200000,0.0,0.0,0.0,0.0,0.0,0.0,0.6187067568689404,0.0,0.0
25544,1575856800000,0.0,0.08471506955213437,0.08471506955213337,0.08471506955213215,0.08471506955210972,0.0,0.6234705182771156,0.15179922210193508,0.0
25545,1575860400000,0.0,0.289189319730875,0.28918931973087414,0.289189319730875,0.28918931973085105,0.0,0.5963957617465949,0.4045842664379249,0.1325980035691069
25546,1575864000000,0.0,0.5496307827458851,0.5496307827458868,0.5496307827458846,0.5496307827458616,0.1308552436693522,0.7699469251982451,0.6205680514459209,0.38612457284148094
25547,1575867600000,0.0,0.7782061780841385,0.7782061780841409,0.7782061780841367,0.7782061780841163,0.48235010952891555,0.7586327602759688,0.7664578840938596,0.6075854987456218
25548,1575871200000,0.0,1.0360052815528027,1.0360052815528071,1.0360052815528018,1.0360052815527816,2.855885247246007,0.7758659195153523,0.9147801422805661,0.8577701048086944
25549,1575874800000,0.0,1.0469335255074261,1.0469335255074301,1.0469335255074252,1.0469335255074066,0.6959983889066117,0.5297514519095134,0.9936763038798062,0.8610938083249415
25550,1575878400000,0.0,1.1606387364982547,1.1606387364982604,1.1606387364982567,1.160638736498236,1.499353440378509,2.509611723344456,1.0571630123011253,0.9679861600739835
25551,1575882000000,0.33,1.2516256234135932,1.251625623413598,1.2516256234135952,1.2516256234135752,1.5037421106639388,2.4670854330504426,1.134684667509609,1.0525039403062146
25552,1575885600000,0.57,1.5052796756407583,1.5052796756407636,1.505279675640761,1.5052796756407403,2.863880169348807,2.953712513701788,2.442062166118248,1.3008238305049746
25553,1575889200000,0.65,1.7107100434255527,1.7107100434255584,1.7107100434255536,1.710710043425534,3.5442491416727804,3.4907724796314294,2.762885705469812,1.5025447604753441
25554,1575892800000,0.41,1.554314359255267,1.5543143592552706,1.5543143592552724,1.5543143592552495,4.490589618658431,3.4473048262894377,2.6814970096086075,1.3462473779364124
25555,1575896400000,0.35,1.0976652617845095,1.0976652617845128,1.0976652617845133,1.0976652617844926,3.4781258321526103,3.3300140352622893,1.7822058293329262,0.8918401039353145
25556,1575900000000,0.05,0.607565712495771,0.6075657124957708,0.6075657124957754,0.6075657124957551,2.093892553580418,0.4346557647181264,1.023385983737908,0.407692908569031
25561,1575918000000,0.0,0.0,0.0,0.0,0.0,0.30359702862609605,0.0,0.0,0.0
25566,1575936000000,0.0,0.0,0.0,0.0,0.0,0.0,1.4363264018796151,0.0,0.0
25567,1575939600000,0.0,0.0,0.0,0.0,0.0,0.0,1.1150343128563183,0.0,0.0
25568,1575943200000,0.0,0.0,0.0,0.0,0.0,0.0,0.3380505025824876,0.0,0.0
25569,1575946800000,0.0,0.12710145463976064,0.12710145463975886,0.12710145463976197,0.1271014546397381,0.0,0.0,0.0,0.0
25570,1575950400000,0.0,0.2990774987761089,0.29907749877610934,0.2990774987761107,0.29907749877608714,0.0,0.0,0.0798864508216206,0.07999472614837938
25571,1575954000000,0.0,0.5082869004715045,0.508286900471505,0.5082869004715054,0.5082869004714834,0.0,0.0,0.2585232550891954,0.2809028256951735
25572,1575957600000,0.0,0.7134205752018419,0.7134205752018444,0.7134205752018445,0.7134205752018219,1.7740357015961918,0.0,0.4534045088972163,0.47711166628709856
25573,1575961200000,0.0,0.8572258111287887,0.8572258111287929,0.8572258111287905,0.8572258111287704,0.0,0.0,0.5226577463390147,0.6124396560720919
25574,1575964800000,0.0,1.0491793230304944,1.0491793230304995,1.0491793230304953,1.0491793230304771,0.6619352150075897,1.9582574830856903,0.7770233759192269,0.7952073413194463
25575,1575968400000,0.0,1.1153614374520637,1.1153614374520695,1.1153614374520675,1.1153614374520453,0.8020131287587589,2.3714151849931753,0.870131555144589,0.8560874184684635
25576,1575972000000,0.01,1.2143244788921608,1.2143244788921663,1.2143244788921645,1.214324478892142,1.1889866391056465,2.632819008083402,1.0737020741987904,0.948872179321316
25577,1575975600000,0.03,1.1336228167949753,1.1336228167949807,1.133622816794981,1.133622816794957,2.3216645793397994,2.7293918861796005,0.9580931376919748,0.8664822353021702
25578,1575979200000,0.0,1.0059943787753696,1.0059943787753725,1.0059943787753713,1.0059943787753518,3.2606230774050093,2.659551886618214,0.817758982773517,0.7387913349576862
25579,1575982800000,0.0,0.6274626537422079,0.6274626537422096,0.6274626537422119,0.6274626537421917,1.301065335628682,1.5713449284365044,0.0,0.36483287756159355
25580,1575986400000,0.0,0.36745564401756337,0.36745564401756237,0.3674556440175696,0.36745564401754804,0.0,0.0,0.0,0.10839372696430444
25581,1575990000000,0.0,0.16664072468109614,0.16664072468109437,0.16664072468110191,0.16664072468107982,0.0,0.0,0.0,0.0
25582,1575993600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25583,1575997200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25584,1576000800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25585,1576004400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25586,1576008000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25587,1576011600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25588,1576015200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25589,1576018800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25590,1576022400000,0.0,0.0,0.0,0.0,0.0,0.0,0.14014898001273401,0.0,0.0
25591,1576026000000,0.0,0.12965492831018643,0.129654928310186,0.12965492831018643,0.12965492831016479,0.0,0.5219209012614883,0.30557942345988476,0.0
25592,1576029600000,0.0,0.33328361603905154,0.33328361603905166,0.33328361603905243,0.3332836160390301,0.0,0.5534081444516703,0.5127741324081279,0.11927474312388675
25593,1576033200000,0.0,0.3692696273507359,0.36926962735073743,0.3692696273507359,0.36926962735071567,0.0,0.30322566260577144,0.38330475394855945,0.15366515858814267
25595,1576040400000,0.0,0.4151648876494689,0.4151648876494719,0.41516488764946935,0.4151648876494505,0.0,0.0,0.2754661015867228,0.1943035015843247
