date,air_humidity_id,cloud_coverage_id,air_pressure_id,sun_hours_id,output
1545912000000,93,63,1010.0,2.2,0.41
1545933600000,90,100,1009.0,0.0,0.0
1545976800000,91,50,1013.2,0.0,0.0
1545998400000,84,25,1016.1,2.9,4.2
1546020000000,94,25,1018.1,0.0,0.0
1546084800000,76,100,1014.3,1.0,0.47
1546106400000,98,100,1013.8,0.0,0.0
1546149600000,92,88,1014.8,0.0,0.0
1546171200000,86,88,1017.2,1.2,1.77
1546192800000,91,100,1021.7,0.0,0.0
1546236000000,93,13,1025.7,-999.0,0.0
1546257600000,90,100,1020.9,-999.0,0.2
1546322400000,77,38,986.9,0.0,0.0
1546344000000,76,75,987.4,2.5,1.48
1546365600000,80,100,992.7,0.0,0.0
1546408800000,60,100,1012.8,0.0,0.0
1546430400000,54,50,1019.5,2.7,5.61
1546452000000,61,75,1023.5,0.0,0.0
1546495200000,84,25,1029.1,0.0,0.0
1546516800000,76,25,1031.3,3.5,2.05
1546538400000,81,100,1028.9,0.0,0.0
1546581600000,72,50,1015.6,0.0,0.0
1546603200000,92,100,1012.2,2.0,0.46
1546624800000,92,100,1011.4,0.0,0.0
1546668000000,94,13,1017.9,0.0,0.0
1546689600000,81,13,1020.8,2.9,1.26
1546711200000,94,75,1023.5,0.0,0.0
1546754400000,89,100,1023.1,0.0,0.0
1546776000000,93,100,1022.2,2.2,0.65
1546797600000,95,100,1021.6,0.0,0.0
1546840800000,94,25,1020.4,0.0,0.0
1546862400000,89,100,1017.1,1.4,0.33
1546884000000,87,100,1009.0,0.0,0.0
1546927200000,94,100,993.2,0.0,0.0
1546948800000,99,100,993.5,1.2,0.51
1546970400000,98,100,997.4,0.0,0.0
1547013600000,86,100,1009.6,0.0,0.0
1547035200000,80,88,1014.7,1.7,0.52
1547056800000,85,25,1018.3,0.0,0.0
1547100000000,86,75,1020.2,0.0,0.0
1547121600000,92,100,1019.0,1.3,0.07
1547143200000,81,100,1014.0,0.0,0.0
1547186400000,92,100,1002.3,0.0,0.0
1547208000000,64,13,1001.7,3.3,2.58
1547229600000,58,25,1001.5,0.0,0.0
1547272800000,67,100,1000.8,0.0,0.0
1547294400000,66,63,998.1,3.3,2.15
1547316000000,75,100,997.2,0.0,0.0
1547359200000,74,100,988.6,0.0,0.0
1547380800000,78,100,980.8,1.5,0.18
1547402400000,90,100,975.3,0.0,0.0
1547445600000,69,13,979.5,0.0,0.0
1547467200000,61,25,981.2,3.7,0.68
1547488800000,61,25,985.5,0.0,0.0
1547532000000,59,50,992.8,0.0,0.0
1547553600000,62,38,994.3,3.8,0.04
1547575200000,71,75,993.6,0.0,0.0
1547618400000,84,13,998.1,0.0,0.0
1547640000000,68,100,995.8,1.5,0.0
1547704800000,91,100,981.1,0.0,0.0
1547726400000,84,88,987.9,3.6,0.81
1547748000000,85,13,994.5,0.0,0.0
1547791200000,79,0,1000.3,0.0,0.0
1547812800000,65,13,1002.8,4.2,3.23
1547834400000,79,13,1005.8,0.0,0.0
1547877600000,86,13,1009.8,0.0,0.0
1547899200000,78,100,1007.0,2.9,1.77
1547920800000,73,63,1007.6,0.0,0.0
1547964000000,72,0,1012.1,0.0,0.0
1547985600000,64,0,1014.4,4.1,6.73
1548007200000,81,0,1015.3,0.0,0.0
1548050400000,88,0,1015.8,0.0,0.0
1548093600000,83,88,1017.0,0.0,0.0
1548136800000,89,100,1013.3,0.0,0.0
1548158400000,79,100,1010.5,1.8,0.0
1548180000000,94,100,1008.8,0.0,0.0
1548223200000,94,100,1008.0,0.0,0.0
1548244800000,92,100,1009.5,1.9,0.1
1548266400000,93,63,1011.3,0.0,0.0
1548309600000,92,63,1015.5,0.0,0.0
1548331200000,86,50,1017.8,3.4,0.48
1548352800000,91,100,1018.8,0.0,0.0
