date,air_humidity_id,precipitation_id,sun_hours_id,output
1533340800000,69,,0.0,0.0
1533344400000,73,0.0,0.0,0.0
1533348000000,82,0.0,0.0,0.0
1533351600000,84,0.0,0.3,0.0
1533355200000,84,0.0,1.6,0.21
1533358800000,82,,4.0,0.65
1533362400000,93,1.0,10.5,0.91
1533366000000,94,0.3,14.6,1.84
1533369600000,92,0.0,22.0,3.18
1533373200000,80,0.0,42.0,5.83
1533376800000,78,0.0,37.5,5.42
1533380400000,68,0.0,53.1,7.03
1533384000000,75,1.0,68.3,8.09
1533387600000,69,0.0,31.1,8.47
1533391200000,66,0.0,22.9,6.58
1533394800000,68,0.0,29.8,7.45
1533398400000,72,0.0,11.3,3.88
1533402000000,70,0.0,10.4,1.89
1533405600000,69,,1.2,0.69
1533409200000,80,0.0,0.2,0.18
1533412800000,89,0.0,0.0,0.03
1533416400000,96,0.0,0.0,0.0
1533420000000,97,0.0,0.0,0.0
1533423600000,98,0.0,0.0,0.0
1533427200000,99,,0.0,0.0
1533430800000,99,0.0,0.0,0.0
1533434400000,100,0.0,0.0,0.0
1533438000000,100,0.0,0.3,0.01
1533441600000,100,0.0,2.5,0.23
1533445200000,90,0.0,8.2,0.82
1533448800000,87,,18.0,0.77
1533452400000,77,0.0,32.0,1.19
1533456000000,70,0.0,23.3,3.18
1533459600000,71,0.2,43.2,7.02
1533463200000,64,0.0,52.6,6.71
1533466800000,61,0.0,36.4,10.67
1533470400000,63,,34.7,4.17
1533474000000,83,2.0,41.9,0.43
1533477600000,75,0.0,40.7,7.86
1533481200000,71,0.0,19.6,8.69
1533484800000,67,0.0,10.7,4.24
1533488400000,67,0.0,6.0,1.86
1533492000000,71,,1.0,0.57
1533495600000,87,0.0,0.2,0.16
1533499200000,90,0.0,0.0,0.03
1533502800000,86,0.0,0.0,0.0
1533506400000,96,0.0,0.0,0.0
1533510000000,98,0.0,0.0,0.0
1533513600000,98,,0.0,0.0
1533517200000,96,0.0,0.0,0.0
1533520800000,86,0.0,0.0,0.0
1533524400000,77,0.0,0.2,0.01
