,date,real_output,StandardScaler_LR,MinMaxScaler_LR,MaxAbsScaler_LR,RobustScaler_LR,QuantileTransformer-Normal_LR,QuantileTransformer-Uniform_LR,PowerTransformer-Yeo-Johnson_LR,Normalizer_LR,StandardScaler_RFR,MinMaxScaler_RFR,MaxAbsScaler_RFR,RobustScaler_RFR,QuantileTransformer-Normal_RFR,QuantileTransformer-Uniform_RFR,PowerTransformer-Yeo-Johnson_RFR,Normalizer_RFR
35023,1579435200000,4.83,4.478807408672242,4.47880740867224,4.478807408672242,4.478807408672241,3.557418768726664,3.4824245507030356,3.7778306638004535,4.305003612082033,3.690999999999999,3.6513999999999993,3.565899999999999,3.565899999999999,3.6478,3.6453,3.5512999999999995,1.2982961795539325
35024,1579438800000,3.49,3.864133859938838,3.864133859938839,3.864133859938838,3.8641338599388364,3.307057165180746,3.5723097466450526,3.912026874440988,3.6968436597930916,2.9638999999999993,2.9631999999999987,2.907999999999999,2.907999999999999,2.9193000000000002,2.911,2.6574999999999984,1.2982961795539325
35025,1579442400000,0.94,2.3331266381362306,2.3331266381362337,2.3331266381362292,2.3331266381362283,3.2226502789077633,3.393543408393643,3.3874273376641937,2.189685949408034,1.8969999999999996,1.9035999999999995,1.8819,1.8844999999999998,1.9025999999999996,1.9027999999999998,1.7347000000000006,1.2982961795539325
35026,1579446000000,0.08,0.09062801886327976,0.09062801886328409,0.09062801886327865,0.09062801886327809,1.6913302194156639,1.9120134045147004,1.7754562093421835,0.0,0.16839999999999997,0.16839999999999997,0.16889999999999997,0.16889999999999997,0.17759999999999998,0.17779999999999999,0.15829999999999994,1.2982961795539325
35027,1579449600000,0.01,0.0,0.0,0.0,0.0,1.4869935835380377,1.501235765682397,0.31455336028706027,0.0,0.011100000000000007,0.011100000000000007,0.011100000000000007,0.011100000000000007,0.010900000000000007,0.011200000000000009,0.004100000000000002,1.2982961795539325
35028,1579453200000,0.0,0.0,0.0,0.0,0.0,1.358184545151737,1.1955394874986212,0.14786378125165456,0.0,0.010400000000000006,0.010400000000000006,0.010400000000000006,0.010400000000000006,0.009900000000000006,0.009900000000000006,0.0026000000000000007,1.2982961795539325
35029,1579456800000,0.0,0.07866953714100378,0.07866953714100544,0.078669537141006,0.07866953714100292,0.30941052609138886,0.4643516549969766,0.0,0.0,0.010500000000000008,0.010500000000000008,0.010500000000000008,0.010500000000000008,0.010100000000000007,0.010100000000000007,5.215905966012999e-06,1.2982961795539325
35030,1579460400000,0.0,0.0964568948200133,0.09645689482001435,0.09645689482001707,0.09645689482001195,0.6022738928753832,0.15132721293771523,0.0,0.0,0.011300000000000008,0.011300000000000008,0.011300000000000008,0.011300000000000008,0.011200000000000009,0.011200000000000009,5.215905966012999e-06,1.2982961795539325
35031,1579464000000,0.0,0.032378504152903664,0.032378504152904275,0.03237850415290833,0.03237850415290272,0.2114478043577379,0.0,0.0,0.0,0.011800000000000008,0.011800000000000008,0.011800000000000008,0.011800000000000008,0.011900000000000008,0.011900000000000008,5.215905966012999e-06,1.2982961795539325
35032,1579467600000,0.0,0.050865844349293976,0.05086584434929481,0.05086584434929886,0.05086584434929314,0.0,0.0,0.0,0.0,0.010800000000000008,0.010800000000000008,0.010800000000000008,0.010800000000000008,0.011500000000000008,0.011500000000000008,5.215905966012999e-06,1.2982961795539325
35033,1579471200000,0.0,0.04536071648052298,0.04536071648052348,0.04536071648052875,0.04536071648052259,0.0,0.0,0.0,0.0,0.009900000000000006,0.009800000000000007,0.009900000000000006,0.009800000000000007,0.010200000000000008,0.010200000000000008,5.215905966012999e-06,1.2982961795539325
35034,1579474800000,0.0,0.05664912716448778,0.056649127164488555,0.056649127164495106,0.05664912716448767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.215905966012999e-06,1.2982961795539325
35035,1579478400000,0.0,0.09062993997556856,0.0906299399755689,0.09062993997557545,0.09062993997556863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.215905966012999e-06,1.2982961795539325
